"LETO";"STAROSTNE SKUPINE";"DRUŽINSKA SKUPNOST, V KATERI JE ROJEN OTROK";"VRSTNI RED ROJSTVA";Živorojeni, rojeni v zakonski zvezi ali zunaj zakonske zveze
"2011";"Pod 15";"Rojeni zunaj zakonske zveze";"Peto rojstvo";0
"2011";"Pod 15";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";0
"2011";"15-19";"Rojeni v zakonski zvezi";"Prvo rojstvo";52
"2011";"15-19";"Rojeni v zakonski zvezi";"Drugo rojstvo";5
"2011";"15-19";"Rojeni v zakonski zvezi";"Tretje rojstvo";1
"2011";"15-19";"Rojeni v zakonski zvezi";"Èetrto rojstvo";0
"2011";"15-19";"Rojeni v zakonski zvezi";"Peto rojstvo";0
"2011";"15-19";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";0
"2011";"15-19";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";176
"2011";"15-19";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";18
"2011";"15-19";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";2
"2011";"15-19";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";0
"2011";"15-19";"Rojeni zunaj zakonske zveze";"Peto rojstvo";0
"2011";"15-19";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";0
"2011";"20-24";"Rojeni v zakonski zvezi";"Prvo rojstvo";525
"2011";"20-24";"Rojeni v zakonski zvezi";"Drugo rojstvo";238
"2011";"20-24";"Rojeni v zakonski zvezi";"Tretje rojstvo";27
"2011";"20-24";"Rojeni v zakonski zvezi";"Èetrto rojstvo";7
"2011";"20-24";"Rojeni v zakonski zvezi";"Peto rojstvo";1
"2011";"20-24";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";0
"2011";"20-24";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";1411
"2011";"20-24";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";268
"2011";"20-24";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";36
"2011";"20-24";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";13
"2011";"20-24";"Rojeni zunaj zakonske zveze";"Peto rojstvo";2
"2011";"20-24";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";1
"2011";"25-29";"Rojeni v zakonski zvezi";"Prvo rojstvo";1469
"2011";"25-29";"Rojeni v zakonski zvezi";"Drugo rojstvo";1292
"2011";"25-29";"Rojeni v zakonski zvezi";"Tretje rojstvo";245
"2011";"25-29";"Rojeni v zakonski zvezi";"Èetrto rojstvo";33
"2011";"25-29";"Rojeni v zakonski zvezi";"Peto rojstvo";7
"2011";"25-29";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";2
"2011";"25-29";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";2997
"2011";"25-29";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";1323
"2011";"25-29";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";136
"2011";"25-29";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";23
"2011";"25-29";"Rojeni zunaj zakonske zveze";"Peto rojstvo";3
"2011";"25-29";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";4
"2011";"30-34";"Rojeni v zakonski zvezi";"Prvo rojstvo";1083
"2011";"30-34";"Rojeni v zakonski zvezi";"Drugo rojstvo";1778
"2011";"30-34";"Rojeni v zakonski zvezi";"Tretje rojstvo";710
"2011";"30-34";"Rojeni v zakonski zvezi";"Èetrto rojstvo";133
"2011";"30-34";"Rojeni v zakonski zvezi";"Peto rojstvo";36
"2011";"30-34";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";15
"2011";"30-34";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";1968
"2011";"30-34";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";1882
"2011";"30-34";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";286
"2011";"30-34";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";55
"2011";"30-34";"Rojeni zunaj zakonske zveze";"Peto rojstvo";13
"2011";"30-34";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";16
"2011";"35-39";"Rojeni v zakonski zvezi";"Prvo rojstvo";299
"2011";"35-39";"Rojeni v zakonski zvezi";"Drugo rojstvo";597
"2011";"35-39";"Rojeni v zakonski zvezi";"Tretje rojstvo";453
"2011";"35-39";"Rojeni v zakonski zvezi";"Èetrto rojstvo";163
"2011";"35-39";"Rojeni v zakonski zvezi";"Peto rojstvo";55
"2011";"35-39";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";23
"2011";"35-39";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";532
"2011";"35-39";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";772
"2011";"35-39";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";213
"2011";"35-39";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";42
"2011";"35-39";"Rojeni zunaj zakonske zveze";"Peto rojstvo";22
"2011";"35-39";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";11
"2011";"40-44";"Rojeni v zakonski zvezi";"Prvo rojstvo";46
"2011";"40-44";"Rojeni v zakonski zvezi";"Drugo rojstvo";65
"2011";"40-44";"Rojeni v zakonski zvezi";"Tretje rojstvo";55
"2011";"40-44";"Rojeni v zakonski zvezi";"Èetrto rojstvo";37
"2011";"40-44";"Rojeni v zakonski zvezi";"Peto rojstvo";14
"2011";"40-44";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";11
"2011";"40-44";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";71
"2011";"40-44";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";85
"2011";"40-44";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";44
"2011";"40-44";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";25
"2011";"40-44";"Rojeni zunaj zakonske zveze";"Peto rojstvo";1
"2011";"40-44";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";2
"2011";"45-49";"Rojeni v zakonski zvezi";"Prvo rojstvo";2
"2011";"45-49";"Rojeni v zakonski zvezi";"Drugo rojstvo";2
"2011";"45-49";"Rojeni v zakonski zvezi";"Tretje rojstvo";1
"2011";"45-49";"Rojeni v zakonski zvezi";"Èetrto rojstvo";1
"2011";"45-49";"Rojeni v zakonski zvezi";"Peto rojstvo";0
"2011";"45-49";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";1
"2011";"45-49";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";4
"2011";"45-49";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";2
"2011";"45-49";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";1
"2011";"45-49";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";1
"2011";"45-49";"Rojeni zunaj zakonske zveze";"Peto rojstvo";0
"2011";"45-49";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";0
"2011";"50+";"Rojeni v zakonski zvezi";"Prvo rojstvo";0
"2011";"50+";"Rojeni v zakonski zvezi";"Drugo rojstvo";0
"2011";"50+";"Rojeni v zakonski zvezi";"Tretje rojstvo";0
"2011";"50+";"Rojeni v zakonski zvezi";"Èetrto rojstvo";0
"2011";"50+";"Rojeni v zakonski zvezi";"Peto rojstvo";0
"2011";"50+";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";0
"2011";"50+";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";1
"2011";"50+";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";0
"2011";"50+";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";0
"2011";"50+";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";0
"2011";"50+";"Rojeni zunaj zakonske zveze";"Peto rojstvo";0
"2011";"50+";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";0
"2012";"Pod 15";"Rojeni v zakonski zvezi";"Prvo rojstvo";0
"2012";"Pod 15";"Rojeni v zakonski zvezi";"Drugo rojstvo";0
"2012";"Pod 15";"Rojeni v zakonski zvezi";"Tretje rojstvo";0
"2012";"Pod 15";"Rojeni v zakonski zvezi";"Èetrto rojstvo";0
"2012";"Pod 15";"Rojeni v zakonski zvezi";"Peto rojstvo";0
"2012";"Pod 15";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";0
"2012";"Pod 15";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";3
"2012";"Pod 15";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";0
"2012";"Pod 15";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";0
"2012";"Pod 15";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";0
"2012";"Pod 15";"Rojeni zunaj zakonske zveze";"Peto rojstvo";0
"2012";"Pod 15";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";0
"2012";"15-19";"Rojeni v zakonski zvezi";"Prvo rojstvo";35
"2012";"15-19";"Rojeni v zakonski zvezi";"Drugo rojstvo";6
"2012";"15-19";"Rojeni v zakonski zvezi";"Tretje rojstvo";1
"2012";"15-19";"Rojeni v zakonski zvezi";"Èetrto rojstvo";0
