"STAROSTNE SKUPINE";"IZOBRAZBA MATERE";"LETO";"VRSTNI RED ROJSTVA";Živorojeni
"Pod 20 let";"Osnovnošolska";"2017";"Drugo rojstvo";18
"Pod 20 let";"Osnovnošolska";"2017";"Tretje rojstvo ali veè";0
"Pod 20 let";"Osnovnošolska";"2018";"Prvo rojstvo";64
"Pod 20 let";"Osnovnošolska";"2018";"Drugo rojstvo";17
"Pod 20 let";"Osnovnošolska";"2018";"Tretje rojstvo ali veè";6
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2010";"Prvo rojstvo";28
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2010";"Drugo rojstvo";4
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2010";"Tretje rojstvo ali veè";1
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2011";"Prvo rojstvo";29
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2011";"Drugo rojstvo";0
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2011";"Tretje rojstvo ali veè";0
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2012";"Prvo rojstvo";10
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2012";"Drugo rojstvo";0
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2012";"Tretje rojstvo ali veè";0
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2013";"Prvo rojstvo";17
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2013";"Drugo rojstvo";0
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2013";"Tretje rojstvo ali veè";0
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2014";"Prvo rojstvo";21
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2014";"Drugo rojstvo";1
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2014";"Tretje rojstvo ali veè";0
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2015";"Prvo rojstvo";22
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2015";"Drugo rojstvo";0
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2015";"Tretje rojstvo ali veè";0
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2016";"Prvo rojstvo";22
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2016";"Drugo rojstvo";0
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2016";"Tretje rojstvo ali veè";0
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2017";"Prvo rojstvo";18
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2017";"Drugo rojstvo";1
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2017";"Tretje rojstvo ali veè";0
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2018";"Prvo rojstvo";16
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2018";"Drugo rojstvo";5
"Pod 20 let";"Nižja poklicna, srednja poklicna";"2018";"Tretje rojstvo ali veè";0
"Pod 20 let";"Srednja strokovna, srednja splošna";"2010";"Prvo rojstvo";37
"Pod 20 let";"Srednja strokovna, srednja splošna";"2010";"Drugo rojstvo";1
"Pod 20 let";"Srednja strokovna, srednja splošna";"2010";"Tretje rojstvo ali veè";0
"Pod 20 let";"Srednja strokovna, srednja splošna";"2011";"Prvo rojstvo";36
